Time,Type
24.40752315,3
24.40827546,2
24.40861111,3
24.41383102,1
24.41456019,2
24.4208912,1
24.42177083,3
24.43228009,3
24.43237269,2
24.43491898,1
24.43894676,2
24.44193287,2
24.44226852,3
24.44351852,3
24.44590278,3
24.45561343,2
24.46019676,1
24.46684028,1
24.47193287,3
24.47802083,3
24.48373843,3
24.49900463,3
24.51043981,2
24.51826389,1
24.51890046,3
24.5190162,1
24.52203704,1
24.52273148,3
24.52644676,3
24.52805556,3
24.52959491,3
24.53159722,1
24.54171296,3
24.54189815,3
24.54549769,3
24.55907407,1
24.55972222,3
24.56082176,1
24.56146991,3
24.57193287,3
24.57662037,3
24.57981481,2
24.58096065,3
24.58393519,1
24.58783565,3
24.58836806,3
24.5983912,1
24.59862269,1
24.60425926,1
24.61145833,3
24.61166667,3
24.62228009,2
24.62366898,3
24.62806713,1
24.62887731,2
24.6331713,3
24.63365741,1
24.63821759,3
24.64299769,3
24.65053241,3
24.66309028,3
24.6640625,2
24.66486111,3
24.66516204,1
24.6806713,2
24.68859954,3
24.69767361,2
24.70083333,1
24.70674769,2
24.71078704,3
24.7162037,1
24.73041667,3
24.73215278,3
24.73940972,2
24.74762731,2
24.7515625,1
24.75480324,3
24.75855324,3
24.75935185,3
24.76284722,2
24.78288194,2
24.78550926,3
24.8016088,2
24.80347222,2
24.8052662,3
24.81109954,3
24.81509259,2
24.82467593,1
24.82537037,3
24.82579861,3
24.8275,1
24.849375,3
24.85359954,3
24.88894676,2
24.89033565,3
24.89158565,3
24.89224537,1
24.89346065,3
24.89563657,3
24.90371528,3
24.91240741,3
24.92193287,3
24.92758102,3
24.94369213,3
24.95237269,3
24.96434028,2
24.97228009,2
24.97366898,3
24.97447917,3
24.97600694,3
24.97740741,3
24.98265046,3
24.98405093,3
24.9918287,3
24.99543981,3
24.9956713,3
24.99725694,2
25.00561343,3
25.00827546,6
25.00883102,6
25.00928241,3
25.02451389,3
25.02997685,4
25.03721065,3
25.03859954,3
25.04050926,3
25.0427662,3
25.05056713,3
25.06739583,3
25.09975694,3
25.10240741,3
25.10561343,3
25.12931713,3
25.12959491,3
25.14259259,3
25.14275463,5
25.14277778,2
25.1552662,3
25.16260417,2
25.1671412,3
25.1806713,3
25.18200231,1
25.19438657,1
25.20561343,2
25.21038194,3
25.2193287,3
25.22078704,1
25.22228009,3
25.22777778,3
25.24479167,3
25.25309028,3
25.25797454,3
25.26626157,3
25.27024306,3
25.27193287,3
25.32200231,3
25.32228009,2
25.32834491,3
25.33116898,3
25.3475,3
25.34859954,3
25.35953704,3
25.36172454,3
25.36903935,3
25.37770833,3
25.37930556,2
25.38859954,3
25.3925,3
25.40804398,3
25.42671296,3
25.42929398,3
25.43894676,2
25.47226852,3
25.49288194,3
25.49871528,3
25.50447917,3
25.5052662,3
25.51914352,3
25.52412037,3
25.52707176,3
25.52997685,3
25.53134259,1
25.53894676,2
25.54178241,3
25.55435185,1
25.5759375,1
25.58096065,2
25.58894676,3
25.6052662,3
25.62193287,3
25.62644676,4
25.63428241,3
25.63674769,3
25.64266204,3
25.64510417,3
25.65561343,2
25.6755787,1
25.67806713,3
25.68221065,3
25.68663194,1
25.69664352,1
25.72193287,3
25.72725694,3
25.75086806,3
25.7565625,3
25.75721065,3
25.75998843,3
25.77908565,3
25.78165509,2
25.78623843,3
25.78824074,3
25.80101852,3
25.80265046,3
25.80591435,3
25.80841435,3
25.80851852,2
25.83353009,3
25.83585648,3
25.83859954,3
25.84542824,3
25.85053241,3
25.89140046,3
25.89217593,3
25.89646991,3
25.9002662,3
25.90859954,3
25.91325231,3
25.92172454,3
25.92597222,3
25.92822917,3
25.93230324,3
25.93649306,3
25.93724537,3
25.94206019,3
25.94466435,3
25.9552662,3
25.96482639,4
25.97054398,2
25.97405093,2
25.97428241,2
25.98237269,3
25.98384259,3
25.98445602,3
26.00561343,2
26.00935185,3
26.01068287,3
26.01233796,3
26.01392361,1
26.01540509,1
26.01556713,3
26.01891204,3
26.02109954,1
26.02452546,1
26.02532407,3
26.02574074,3
26.02702546,3
26.03050926,3
26.03259259,3
26.0353588,1
26.03645833,3
26.04732639,2
26.0552662,3
26.06210648,3
26.09170139,1
26.09179398,3
26.09857639,3
26.11444444,3
26.11578704,3
26.12155093,3
26.14162037,3
26.14434028,3
26.14462963,3
26.14893519,3
26.1590625,2
26.16056713,3
26.1609838,3
26.16246528,3
26.17193287,3
26.17962963,2
26.18177083,3
26.18291667,3
26.18646991,3
26.18693287,3
26.19266204,3
26.22228009,2
26.24922454,3
26.25128472,3
26.2541088,3
26.28287037,3
26.29131944,2
26.29378472,4
26.30561343,4
26.32299769,3
26.32887731,3
26.34309028,3
26.3671875,3
26.3683912,3
26.37846065,3
26.38200231,1
26.4052662,3
26.42196759,3
26.42427083,3
26.4272338,3
26.44856481,3
26.45121528,3
26.45561343,2
26.45665509,4
26.4625,1
26.46296296,2
26.46394676,2
26.47608796,3
26.48284722,3
26.48483796,3
26.48711806,3
26.49261574,3
26.50333333,3
26.5055787,3
26.51024306,3
26.52123843,3
26.52373843,3
26.52586806,3
26.52731481,3
26.54054398,3
26.55103009,3
26.55248843,3
26.56887731,3
26.57013889,2
26.57228009,2
26.57855324,3
26.57928241,2
26.58096065,2
26.58510417,1
26.60115741,3
26.61082176,3
26.61172454,3
26.63572917,3
26.63778935,3
26.65787037,3
26.66219907,3
26.66240741,3
26.66930556,3
26.67090278,3
26.68679398,3
26.6947338,5
26.69494213,3
26.69494213,3
26.69494213,3
26.69494213,3
26.70585648,1
26.71202546,3
26.73133102,3
26.75457176,3
26.76695602,3
26.78008102,3
26.78517361,3
26.79143519,4
26.80167824,3
26.80561343,2
26.80771991,3
26.82289352,3
26.83457176,3
26.84351852,3
26.85628472,1
26.86755787,3
26.87123843,3
26.87436343,3
26.88908565,3
26.91162037,2
26.92228009,2
26.92743056,3
26.92803241,3
26.95278935,3
26.95761574,3
26.95789352,3
26.95822917,3
26.98423611,3
26.98790509,3
27.00628472,3
27.02228009,2
27.02511574,3
27.02606481,3
27.03015046,2
27.03372685,3
27.03743056,3
27.04200231,1
27.04576389,2
27.04813657,2
27.04945602,2
27.05560185,3
27.07393519,2
27.07667824,3
27.08278935,3
27.08315972,2
27.08790509,3
27.0952662,3
27.10358796,3
27.10987269,2
27.11152778,3
27.11922454,3
27.12826389,3
27.13894676,2
27.14232639,3
27.14319444,3
27.1459375,3
27.1484838,2
27.15444444,3
27.15640046,3
27.15665509,3
27.16435185,2
27.16444444,3
27.17100694,3
27.19172454,3
27.19190972,2
27.19190972,2
27.19237269,3
27.19273148,2
27.19274306,3
27.20457176,3
27.21903935,1
27.22203704,2
27.22210648,2
27.22680556,3
27.2290162,2
27.23003472,3
27.24358796,3
27.25263889,1
27.25561343,2
27.27969907,3
27.28732639,3
27.28877315,4
27.28945602,3
27.29300926,3
27.31094907,3
27.31635417,3
27.3208912,3
27.34787037,3
27.34907407,3
27.35418981,3
27.36090278,3
27.36984954,1
27.37228009,2
27.38699074,3
27.4130787,2
27.41810185,3
27.42760417,3
27.4315625,3
27.43322917,3
27.44074074,3
27.44202546,1
27.46497685,3
27.4652662,3
27.4721875,3
27.48894676,2
27.49020833,3
27.50792824,2
27.51319444,3
27.52366898,3
27.52414352,3
27.52819444,3
27.5372338,3
27.55457176,3
27.55953704,3
27.56865741,3
27.57013889,2
27.57013889,2
27.58821759,2
27.59115741,2
27.59115741,2
27.59115741,2
27.5921875,3
27.59409722,1
27.59409722,2
27.60561343,2
27.60940972,3
27.62439815,3
27.63260417,2
27.63260417,2
27.63261574,2
27.63261574,2
27.63261574,2
27.63261574,2
27.63261574,2
27.63261574,2
27.6458912,3
27.64641204,3
27.64721065,3
27.65721065,3
27.66157407,3
27.67123843,3
27.67515046,3
27.67528935,3
27.6765162,2
27.69086806,2
27.69771991,2
27.70284722,3
27.70869213,3
27.71290509,3
27.71515046,3
27.71866898,3
27.72228009,2
27.72579861,3
27.72783565,2
27.78790509,3
27.79996528,3
27.80320602,3
27.80731481,1
27.80846065,2
27.83084491,3
27.83853009,3
27.83900463,2
27.8400463,3
27.84193287,3
27.84384259,3
27.85601852,3
27.86039352,3
27.86049769,2
27.86049769,2
27.8628125,3
27.86334491,2
27.89337963,1
27.89600694,2
27.90032407,1
27.90068287,3
27.90847222,3
27.91069444,3
27.9396412,3
27.95428241,3
27.95671296,3
27.97493056,3
27.98056713,3
28.02991898,1
28.11030093,3
28.11849537,1
28.1218287,3
28.15549769,3
28.15635417,3
28.15748843,3
28.16876157,3
28.1728588,3
28.17792824,3
28.1787037,1
28.19226852,3
28.20321759,3
28.20422454,3
28.21512731,3
28.2271412,3
28.2271875,2
28.23606481,3
28.2394213,3
28.25561343,2
28.27332176,3
28.27767361,3
28.27853009,3
28.28003472,3
28.28368056,3
28.28509259,3
28.28802083,3
28.29289352,1
28.29421296,3
28.29663194,3
28.29702546,3
28.30712963,1
28.31112269,2
28.32123843,3
28.33599537,3
28.34829861,3
28.35369213,3
28.36190972,4
28.36414352,2
28.37173611,3
28.37203704,3
28.37381944,3
28.3844213,2
28.3975,3
28.41181713,3
28.4177662,4
28.42482639,3
28.4344213,3
28.43790509,3
28.44230324,4
28.458125,3
28.48650463,3
28.48686343,3
28.48894676,2
28.49806713,2
28.50483796,3
28.51103009,2
28.51238426,2
28.52658565,3
28.53106481,3
28.53686343,3
28.55449074,3
28.55457176,3
28.55891204,3
28.56699074,3
28.57202546,3
28.57924769,3
28.60491898,2
28.60667824,3
28.60710648,3
28.60826389,3
28.60868056,3
28.60946759,3
28.61480324,2
28.61489583,3
28.61612269,3
28.61673611,3
28.65457176,3
28.65734954,3
28.66925926,3
28.66978009,3
28.67387731,3
28.68533565,3
28.6877662,3
28.69513889,3
28.70420139,3
28.70561343,2
28.70694444,3
28.72945602,2
28.73149306,1
28.73431713,3
28.74,3
28.75097222,3
28.75115741,3
28.75696759,3
28.76040509,3
28.77123843,3
28.7737037,3
28.77532407,3
28.77625,3
28.77648148,2
28.7778588,2
28.79503472,3
28.80491898,4
28.81741898,3
28.83134259,3
28.83894676,2
28.8505787,3
28.85731481,2
28.85826389,2
28.85877315,3
28.86340278,3
28.87329861,3
28.87427083,3
28.87486111,2
28.88594907,3
28.88790509,3
28.89021991,3
28.89240741,1
28.89355324,3
28.89487269,3
28.92434028,3
28.95145833,3
28.95561343,2
28.96740741,3
28.97394676,3
28.98825231,3
28.98833333,3
28.99306713,3
29.00457176,3
29.01024306,3
29.01230324,1
29.01436343,1
29.01467593,3
29.03608796,3
29.03755787,3
29.04137731,3
29.0471875,2
29.05226852,3
29.05561343,2
29.06107639,3
29.06278935,3
29.07355324,3
29.08350694,2
29.13344907,3
29.13790509,3
29.14167824,3
29.14494213,3
29.16740741,2
29.1784375,3
29.18644676,3
29.18894676,2
29.19045139,2
29.19243056,3
29.19569444,3
29.21042824,2
29.21799769,3
29.21950231,3
29.22440972,2
29.23716435,3
29.23875,3
29.24045139,2
29.24061343,3
29.25096065,3
29.25133102,3
29.25457176,3
29.25740741,3
29.26929398,3
29.27704861,3
29.28769676,3
29.29172454,3
29.30085648,3
29.3037963,3
29.30561343,2
29.30938657,3
29.33640046,3
29.34751157,4
29.37123843,3
29.37825231,3
29.393125,3
29.39646991,4
29.42228009,2
29.43670139,3
29.4444213,2
29.44648148,2
29.44671296,2
29.44707176,2
29.44733796,2
29.45510417,3
29.47626157,1
29.47659722,3
29.4853125,3
29.48790509,3
29.49045139,3
29.49045139,3
29.49788194,3
29.49862269,3
29.53894676,2
29.56017361,3
29.56053241,3
29.56586806,3
29.56850694,3
29.57462963,2
29.58153935,3
29.59351852,2
29.59511574,5
29.60153935,3
29.60253472,3
29.60386574,3
29.60457176,3
29.6046875,1
29.60494213,3
29.6241088,3
29.62439815,3
29.6275463,3
29.63204861,3
29.63894676,2
29.64033565,3
29.64033565,3
29.64033565,3
29.65483796,3
29.66075231,3
29.6741088,2
29.67412037,2
29.69207176,3
29.70457176,3
29.70737269,3
29.70960648,3
29.71483796,3
29.72033565,3
29.74369213,3
29.74864583,3
29.75561343,2
29.77355324,5
29.77358796,2
29.78969907,2
29.78993056,2
29.79501157,3
29.82123843,3
29.84033565,2
29.85076389,3
29.86221065,3
29.86318287,3
29.87112269,5
29.87228009,2
29.87228009,3
29.87832176,3
29.8896412,2
29.88979167,3
29.89917824,3
29.90440972,3
29.90453704,3
29.91259259,3
29.91760417,3
29.92322917,2
29.92832176,3
29.93046296,3
29.934375,3
29.93790509,3
29.97568287,3
29.98894676,2
29.98894676,3
29.98894676,3
29.99511574,2
30.00729167,3
30.01355324,3
30.02597222,3
30.05457176,3
30.06283565,1
30.07622685,3
30.08594907,3
30.09490741,2
30.10561343,2
30.10700231,3
30.10835648,5
30.11024306,3
30.12850694,3
30.12959491,3
30.14171296,6
30.144375,5
30.14631944,3
30.15097222,3
30.15840278,3
30.16425926,1
30.16708333,3
30.17123843,3
30.18568287,3
30.46083333,3
30.46085648,3
30.47947917,3
30.49378472,3
30.49653935,3
